ProductCategory,:,WomenClothing
SalesInThousandDollars,:,4525
MonthlyNominalGDPIndexinMillion,:,17765.33757
MonthlyRealGDPIndexinMillion,:,16243.05473
CPI,:,259.382
unemploymentrate,:,5.8
CommercialBankInterestRateonCreditCardPlans,:,11.99
FinanceRateonPersonalLoansatCommercialBanks24MonthLoan,:,10.47
Earningsorwagesindollarsperhour,:,24.78
CottonMonthlyPriceUScentsperPoundlbs,:,67.53
Changein,:,-3.99
Averageuplandplantedmillionacres,:,10.818
yieldperharvestedacre,:,783
Millusein480lbnetwerightinmillionbales,:,3.775
Exports,:,9.45
SeaLevelPressavg,:,1017.4
Visibilityavg,:,14.3
Windavg,:,8.6
Precipsum,:,3.598666667
Event,:,0
FederalHoliday,:,2
